node;clustering_coeffs;name_metrics;name_dataset;followers;popularity;genres;chart_hits
080IizDi2wwWfkw1zPdBZz;1.0;Kadri;Kadri;417.0;26.0;[];
082zRlftZ3m400Bu6Q2s2Q;1.0;Tune Up!;Tune Up!;7023.0;30.0;[];
08Dr0vhbIawKDnyy2mdObq;1.0;Anilton Oliveira;Anilton Oliveira;1.0;0.0;[];
08EFn0J5faHvrhhS02GpJD;1.0;Chelsea Muco;Chelsea Muco;212.0;8.0;['burundian pop'];
08H9w1bUcXIcDgi8HYP8Hw;1.0;Carolina;Carolina;2816.0;39.0;['partyschlager'];
08KQfADhvzZNtQnplCAIyS;1.0;Mc Diouro;Mc Diouro;470.0;37.0;[];
08L8dgDRvqsoRqDLMlI9C3;1.0;Dyson Kellerman;Dyson Kellerman;1233.0;21.0;[];
08MxYfoyNQpx314MAppI8w;1.0;8lak;8lak;8432.0;39.0;['chinese r&b'];
08P5qHtnVKe6wZOcWJO32d;1.0;Thiago Kelbert;Thiago Kelbert;17.0;22.0;[];
08XhG7EIqqhdcFnByfKUrj;1.0;Eileen Shannon;Eileen Shannon;7.0;4.0;[];
08YG9kh5zIoRzOzaLOAv00;1.0;Son Goku;Son Goku;1111.0;9.0;['german alternative rock'];
08Ym2eCLx8rseIkR8Fv2yR;1.0;DJ Negritto;DJ Negritto;2.0;4.0;[];
08ejcjfMzbGwiK9MVslxc5;1.0;Xowla;Xowla;1203.0;42.0;[];
08hlS00IaeGBaRSZtxuwUq;1.0;Proflame;Proflame;2061.0;37.0;['lithuanian pop', 'lithuanian trap'];
08iho5PATYuE9pBBrqJmVY;1.0;Gurmo;Gurmo;13.0;8.0;[];
08teTDZts19nrv4l0znQ2C;1.0;Mogge;Mogge;122.0;11.0;[];
08wHYfKn1ZjVd0LpFvytLk;1.0;Dj Gaby;Dj Gaby;2158.0;37.0;[];
08xXKtmKRkCC7hfx5sTAdq;1.0;Andys Val;Andys Val;5.0;9.0;[];
08yoNApAYvtzOK5P3qZKw8;1.0;Spray;Spray;1995.0;28.0;['korean underground rap'];
08zFRoyHhy4mU0Viodxy03;1.0;Nan Rmx;Nan Rmx;136.0;30.0;[];
08zaslX1yBxta9zqc2yoWJ;1.0;Yeis Sensura;Yeis Sensura;78278.0;41.0;['turkish hip hop'];
094myshjkfowLebPMenCZ8;1.0;Lil Voz El Dominicano;Lil Voz El Dominicano;37.0;3.0;[];
096an3uS6ZaK2XySae6SqP;1.0;Arlindo Cruz;Arlindo Cruz;645590.0;58.0;['pagode', 'samba'];
097u8n1F4JjTzmOR9VUVEK;1.0;Edward Artemyev;Edward Artemyev;1548.0;45.0;[];
09APlxKWDoxucGGvDlrwn6;1.0;UKG;UKG;127.0;18.0;[];
09BZjTtWzb6UAkyb4LrcxM;1.0;DJ Skelez;DJ Skelez;21.0;7.0;[];
09C3CKFxKEw1n1Z7kvT3jb;1.0;Deathpact;Deathpact;33117.0;44.0;['dark clubbing'];
09GxEWSAUueOujOJvwXZHc;1.0;Sound is Style;Sound is Style;6.0;3.0;[];
09IVixIx3VLLFmWZfojamH;1.0;Zé Cantor;Zé Cantor;234780.0;44.0;['forro'];
09LLbwmg3fcyybD4PGIfeR;1.0;Tabby DOLLA;Tabby DOLLA;23.0;6.0;[];
09Mknlo1aOXbEtxUD41wH2;1.0;Andy Luxx;Andy Luxx;1342.0;52.0;['discofox'];
09R2ZnVOtZJjYH5CkDkA0M;1.0;Kibow;Kibow;117.0;32.0;[];
09RCGJbPIC8CxxKedqRbb6;1.0;The Beat Shakers;The Beat Shakers;548.0;51.0;[];
09Swfzp0iwV8Yxe1Ngzf6v;1.0;Bijibal;Bijibal;198343.0;50.0;['filmi', 'mollywood'];
09XfliDvslG7jAKoDWi3fN;1.0;Latika Mishra;Latika Mishra;4.0;1.0;[];
09Z51O0q4AwHl7FjUUlFKw;1.0;Saltatio Mortis;Saltatio Mortis;191563.0;54.0;['german metal', 'german rock', 'hurdy-gurdy', 'medieval rock', 'neue deutsche harte'];
09apxys93rFK3x28ufjH6w;1.0;NEVRMIND;NEVRMIND;2441.0;48.0;[];
09ay1I5ams1WWyQ5ouKblO;1.0;Dj Eryy Detona;Dj Eryy Detona;121.0;27.0;[];
09ci97mGlIVzXxSRGEKPxl;1.0;JT The Bigga Figga;JT The Bigga Figga;36751.0;29.0;['dirty texas rap', 'hyphy', 'west coast rap'];
09fZDoFslpV2iF8wX3ok4k;1.0;Motzu;Motzu;12.0;12.0;[];
09jpKMBT8vG1D1q8SBXH6H;1.0;Milani;Milani;782.0;15.0;[];
09pDLc11jZN8ECK9dz4r2K;1.0;Tuyết;Tuyết;9.0;19.0;[];
09sAgSZYODKh7zr8UOtcnj;1.0;WATEVA;WATEVA;28.0;3.0;[];
09t53tIDGDG5hAyBrZrotK;1.0;DJ SMILE;DJ SMILE;406.0;1.0;[];
09uCTIS3qPvdLwD7Z9x596;1.0;Atmo;Atmo;27.0;6.0;[];
09vnXoFkZgz4LpDF0xWULu;1.0;Gil Semedo;Gil Semedo;18694.0;31.0;['kizomba', 'kizomba antigas', 'kizomba cabo-verdiana', 'zouk'];
09xlmsJE4csKttjrJVBdnV;1.0;Klass;Klass;0.0;0.0;[];
0A1kzyXX7RpmRmopHukHYZ;1.0;Mente Abierta;Mente Abierta;138.0;7.0;[];
0A2TmzqQnCiumouvOY8dhL;1.0;Benjamin Rodriguez;Benjamin Rodriguez;13.0;17.0;[];
0A7d0PJxaLO7CGI94ht6PX;1.0;Crystal Lake;Crystal Lake;154194.0;47.0;['japanese metalcore', 'japanese punk rock', 'metalcore'];
0A8VNfF9eBXMqKGg0866We;1.0;DJ Cap;DJ Cap;73.0;21.0;[];
0ADlH4ViIww4jnFYC8Y2SX;1.0;Natan Chaim;Natan Chaim;1002.0;33.0;[];
0AF2gJIJJdCVC4nNRcYI9B;1.0;Bones & The Boy;Bones & The Boy;733.0;38.0;[];
0AIbFcEUwRMHWoYg9rQOpo;1.0;Mc Neguinho do Morro;Mc Neguinho do Morro;4.0;18.0;[];
0AIvPC8ulVLwj7CiilwgVX;1.0;Stephan Pie;Stephan Pie;641.0;13.0;['russian rave'];
0AKaGOjJkxnPFYwdK252sp;1.0;DANI;DANI;477.0;43.0;[];
0AKnNk5yvG7tiphBN7FMR8;1.0;Beni Barath;Beni Barath;6.0;6.0;[];
0APd9ivr5smwCsrDArOSst;1.0;Morty Simmons;Morty Simmons;395.0;48.0;[];
0AR0sUwHfzIgNZGUjlE777;1.0;Les Choeurs des Amis Francais;Les Choeurs des Amis Francais;12.0;3.0;[];
0AZgDbZ0xUvH7NcUvD5Wyr;1.0;Cristina Morán;Cristina Morán;3.0;12.0;[];
0AqfGv5Nifg1klh0iH4Nqs;1.0;Marley Marl;Marley Marl;48317.0;40.0;['east coast hip hop', 'electro', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop'];
0ArU09zjX3E7R0tSwTwN3t;1.0;Ramon Mirabet;Ramon Mirabet;24064.0;38.0;['cantautor catala', 'musica catalana'];
0AtWMBis5Rh02sFv4LgXtP;1.0;YG Hootie;YG Hootie;10165.0;38.0;['drill'];
0AwmvkpCX2hQUWEI40zgZO;1.0;Enpon;Enpon;0.0;0.0;[];
0AzK4gYbBrtefnb1B6a4p3;1.0;มายด์ วิรพร;มายด์ วิรพร;45.0;20.0;[];
0AzZC0vlRvOkkIbXXBbDDi;1.0;Hypnotune;Hypnotune;2443.0;1.0;[];
0B0XXiGxIzdpQAvf3otjUb;1.0;ROUSSO;ROUSSO;1219.0;33.0;[];
0B3I6YgdnfXehUCpsO6oB8;1.0;HYOYEON;HYOYEON;235107.0;35.0;['k-pop'];
0B5Hw4rZHBWkaDeTCZRtbe;1.0;Ciro Deejay;Ciro Deejay;88.0;25.0;[];
0BB7wMyRwT93gNrtzgCaz5;1.0;MUNKY;MUNKY;425.0;39.0;[];
0BHmngMFUcxPta4njTSMuU;1.0;Diamant;Diamant;15387.0;41.0;['bayerischer rap', 'german hip hop'];
0BMfVLB7t0VCzNBZZKBy6A;1.0;JVNA;JVNA;63969.0;44.0;['electra', 'future bass', 'melodic dubstep', 'pop edm'];
0BPT9SFoQzi6Pfk387jLE8;1.0;Daniel Donato;Daniel Donato;13229.0;32.0;['jam band', 'nashville americana'];
0BZ23OwbopKO2mAxrE2uUA;1.0;Tailor Cut;Tailor Cut;139.0;34.0;[];
0BclsM5F4xzdKWrHUeLZIQ;1.0;Ramesh Narayan;Ramesh Narayan;16780.0;29.0;[];
0BdZi6qH5GIysWupr5kTdo;1.0;AG BLAXX;AG BLAXX;385.0;13.0;[];
0BeIulKOpcvsabwlt4u8qp;1.0;태양;태양;5623.0;19.0;['k-pop'];
0BgD8eQ4cwDAdne1EnlIPe;1.0;Pablito Rolayork;Pablito Rolayork;302.0;40.0;['urbano chileno'];
