node;eigenvector;pagerank;closeness;degree;clustering_coeffs
7bkvIZ8KT4kxelaAmobX8D;1.4702514525105743e-14;0.003540449637083543;0.002288329519450801;0.002288329519450801;0.0
10exVja0key0uqUkk6LJRT;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
0Ikg5QGqfXvrtaSosMFruS;4.4852888105537034e-13;0.0027345878922619446;0.003051106025934401;0.002288329519450801;0.0
2p48L95TwEaYkSdn6R7LOr;0.006844657253548512;0.0012438010196931968;0.10251057304084249;0.002288329519450801;0.0
3U7bOaJLuFkrmDQ1C1OqKl;0.01251916679245798;0.0020582798683644456;0.10332200237889666;0.004576659038901602;1.0
64k5e9kV9MdukXjFrR5R37;0.09240754024398705;0.004521675223800698;0.13715950578494512;0.013729977116704806;0.06666666666666667
6FH5vFm7hqDm3UzEAYuizY;3.426925461165344e-12;0.0023851732168003507;0.0036613272311212816;0.002288329519450801;0.0
4Kxlr1PRlDKEB0ekOCyHgX;0.016483947849108806;0.005736434094600411;0.09938842360812648;0.009153318077803204;0.0
5L4EafeXwZ0stGuPtGr5Tz;0.04680778075426762;0.0043581610858256705;0.1305301296720061;0.011441647597254004;0.0
01XYiBYaoMJcNhPokrg0l0;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
49muoiIu4uea4PO8vueUNN;0.010202741660264036;0.0012568592522368964;0.10144828730984931;0.002288329519450801;0.0
4k5fFEYgkWYrYvtOK3zVBl;0.005324051155152114;0.0013425274148721037;0.09876176267743211;0.002288329519450801;0.0
779v40cWIJUUoIDtC1IGaF;1.4702514525105743e-14;0.003540449637083543;0.002288329519450801;0.002288329519450801;0.0
6R57JlNKlnNrYaji0vw8xx;1.4702514525105743e-14;0.003540449637083543;0.002288329519450801;0.002288329519450801;0.0
2bWTIIQP9zaVc55RaMGu7e;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
1fwMtpwCEJovQuyxSuHcAd;0.023353421174842588;0.005375956259260833;0.1160267819306721;0.011441647597254004;0.1
5BHFSMEjfLVx1JwRWjAOsE;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
6B9YF4eOv99klogeZUzkYM;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
24jJXZRz3aGvjVvZ4OoerD;0.005321722445414696;0.003679883457274899;0.102242921414104;0.006864988558352403;0.0
0il5ZP3xYOECtONJtZ38Ln;0.05391510190605803;0.003882089026328239;0.1275538726436542;0.011441647597254004;0.2
7l8rOFwZFQ3G0sgZ7gjGng;0.007821153019675833;0.003982834144754063;0.10526623360645654;0.009153318077803204;0.16666666666666666
2GQxKDojobwBjZMPf7aoh0;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
0OzYRJJgttqlhZ63PHMndj;1.4702514525105743e-14;0.003540449637083543;0.002288329519450801;0.002288329519450801;0.0
2LgklPXmvWVOQfzPVkuChg;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
6aLdhHUqgdKE86xbtNmY8g;0.3344128697452529;0.014137171866572483;0.15983281184327278;0.04576659038901602;0.13157894736842105
0hRHbwZ0xSwfVHl4FTv7jq;0.05433838389424117;0.004299456712811601;0.1273464679726889;0.011441647597254004;0.0
2AfmfGFbe0A0WsTYm0SDTx;4.4852888105537034e-13;0.0027345878922619446;0.003051106025934401;0.002288329519450801;0.0
1gBUSTR3TyDdTVFIaQnc02;9.128825980041962e-12;0.0023281898626982423;0.004576659038901602;0.002288329519450801;0.0
6QyO41KctzGc70mVaVnXQO;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
2xPib32Evv9bGD0CBrpkqM;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
0qlWcS66ohOIi0M8JZwPft;0.000619893783215791;0.001573768491756035;0.08244008189810911;0.002288329519450801;0.0
6SKusTjOAPsTZ6kareKQdm;0.006082228941569732;0.003491926095242619;0.10251057304084249;0.006864988558352403;0.0
1IlMpBkrZ4Na4S9fOcuN3f;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
2lkCfFklQDBPlQzS4tR3VP;0.002526809652629906;0.001384080214130955;0.08731112352642549;0.002288329519450801;0.0
5HenzRvMtSrgtvU16XAoby;0.2052857548092397;0.007026416457244391;0.1469382322761795;0.02288329519450801;0.2222222222222222
5KNNVgR6LBIABRIomyCwKJ;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
1l0mKo96Jh9HVYONcRl3Yp;0.0019196036864937756;0.0017508340375217823;0.08057415411852228;0.002288329519450801;0.0
6ZUjdwG0NvY6MT7vvmluhV;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
0tC995Rfn9k2l7nqgCZsV7;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
4zTNiArZgV1SKWATSFshVI;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
1Do4bSzfUl0KWL9r1fITu0;0.06857031003679356;0.004066272062493855;0.13788393979437266;0.011441647597254004;0.0
6nVMMEywS5Y4tsHPKx1nIo;0.00941484373866139;0.004320596164979563;0.10757977720220283;0.009153318077803204;0.0
6ujr1NkqbZpYOhquczUUfl;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
46RW1SRnlVw3OzyxN8ikGf;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
58BWh3yJrluDugLv0QF0eC;0.04529994777982654;0.0018626216713838219;0.11812681418281096;0.004576659038901602;0.0
195hFqaTDENqLCcG8uGtM7;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
6vPzAqZDXQgLTEn8pjp4jY;0.017474489295712624;0.001991997005619478;0.11061875395932722;0.004576659038901602;0.0
2Kym4g2CjFyRO3Hx3phNEM;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
7qxo9RTWfEoFKN7XGtNV6V;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
4dvmLXorXADxVq8EcySEWk;0.0029740407103684818;0.0037439471808514437;0.09609580098552596;0.006864988558352403;0.0
3dayhmhJfL4I8w1PuL9MqQ;1.4702514525105743e-14;0.003540449637083543;0.002288329519450801;0.002288329519450801;0.0
6C4irZ60X8G7UimMRQiCcg;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
1RIh3aczBZD0MaLuhh5dMm;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
0Sadg1vgvaPqGTOjxu0N6c;0.021694212366974226;0.006021241822235786;0.10984302637195466;0.013729977116704806;0.13333333333333333
1bkpTEmumLC3xc7HgMsttU;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
0UntV1Bw2hk3fbRrm9eMP6;0.11047200539798267;0.004364572571045928;0.12471031497325424;0.013729977116704806;0.26666666666666666
2OjHL82qMprs982cWYzzkW;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
6zn0ihyAApAYV51zpXxdEp;0.00819036056227874;0.0044135372080500715;0.10456352176662706;0.009153318077803204;0.0
7nqOGRxlXj7N2JYbgNEjYH;0.0031364130794036215;0.001371188169493387;0.09741054453134784;0.002288329519450801;0.0
3GwQM8FuFMkdHSPu4qvKli;5.935608996310827e-12;0.004346311381905143;0.005230467473030402;0.004576659038901602;0.0
7vUVBbfIykXkc668JoZI5P;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
15gjdkbTAdGepZQ6URumfU;1.773595862998265e-12;0.0024845260615636348;0.003432494279176201;0.002288329519450801;0.0
2GEPtT5RDxrmdi0A4mbDi7;5.487932350629779e-05;0.0037477609065596565;0.06631505317798786;0.004576659038901602;0.0
0fs8Z11YQwRDEhdgRXoi4q;1.773595862998265e-12;0.0024845260615636348;0.003432494279176201;0.002288329519450801;0.0
3LFFf4EpKn2krneZ9vozyz;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
0pUAhoiJoQuuh9BH0bwRmQ;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
7LdZwtnhfB1GoC9SE9tvyb;0.013318078691165065;0.002658298068976068;0.10470331257112789;0.004576659038901602;0.0
0ZHbYuRbvC4tWW0iOdybwi;0.05104352127686031;0.0044089965086567175;0.12294831680251754;0.011441647597254004;0.1
610EjgFatGvVPtib97jQ8G;1.4702514525105743e-14;0.003540449637083543;0.002288329519450801;0.002288329519450801;0.0
6GwM5CHqhWXzG3l5kzRSAS;0.11813606266157523;0.0053302357513974555;0.13620535270122375;0.016018306636155607;0.23809523809523808
5L1lO4eRHmJ7a0Q6csE5cT;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
6dhfy4ByARPJdPtMyrUYJK;0.04070212856679606;0.0018127135399038268;0.1231416317660435;0.004576659038901602;0.0
