graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_eigenvector;avg_eigenvector
rand_random_real_100_156422_2_0.85_17366061309131958_30;156422;312840;1;0.6322606524607108;0.030436797664220767;0.0315;0.6979760661092935;0.00028583334059783855
rand_random_real_100_156422_2_0.85_1736606135724995_31;156422;312840;1;0.6313778756879459;0.021840334689817446;0.0242;0.7005108453060039;0.0003387834991698416
rand_random_real_100_156422_2_0.85_17366061453679693_32;156422;312840;1;0.6305372900667748;0.028890023574912816;0.0283;0.6996921732692221;0.0003045572599535664
rand_random_real_100_156422_2_0.85_17366061502689288_33;156422;312840;1;0.6323454787788674;0.033744316231350366;0.0358;0.6975118764274004;0.0002910387646060488
rand_random_real_100_156422_2_0.85_17366061547873445_34;156422;312840;1;0.6312025348668181;0.03999626157240391;0.0423;0.6299811117974146;0.0003557942346387011
rand_random_real_100_156422_2_0.85_1736606158894254_35;156422;312840;1;0.6308042030695515;0.020320266924913215;0.0208;0.6976292523253733;0.0003447344401094001
rand_random_real_100_156422_2_0.85_17366061649731238_36;156422;312840;1;0.6307819846739178;0.030676179151315826;0.0324;0.6991336575243653;0.00028120758634361944
rand_random_real_100_156422_2_0.85_17366061696755178_37;156422;312840;1;0.6331198878922218;0.026000541718568367;0.0289;0.6998412779968176;0.00031978972458443706
rand_random_real_100_156422_2_0.85_1736606174922672_38;156422;312840;1;0.630955358802742;0.02593213452337372;0.0274;0.7007456655621418;0.00029554807158901534
rand_random_real_100_156422_2_0.85_17366061802135224_39;156422;312840;1;0.6325854301663797;0.03616914543837093;0.0381;0.7007305674852978;0.0002720872007710947
rand_random_real_100_156422_2_0.85_1736606189356106_40;156422;312840;1;0.6313004293563027;0.029689899689358097;0.0304;0.6988179682232203;0.000296139246907746
rand_random_real_100_156422_2_0.85_1736606194227045_41;156422;312840;1;0.6316764551656454;0.03239033924492021;0.0339;0.7010727750177931;0.0002976231997117822
rand_random_real_100_156422_2_0.85_17366061987735145_42;156422;312840;1;0.6313686864794046;0.03603122218024899;0.0338;0.6984142520172821;0.0002744110277337427
rand_random_real_100_156422_2_0.85_17366062031515994_43;156422;312840;1;0.6314049903159706;0.022590717394691543;0.0214;0.7011260332100914;0.00032665667420133445
rand_random_real_100_156422_2_0.85_1736606208870875_44;156422;312840;1;0.631447033024145;0.03198601048732689;0.0329;0.6970877547860843;0.00026554521780041177
rand_random_real_100_156422_2_0.85_17366062135423439_45;156422;312840;1;0.6324735470660928;0.030346660313547415;0.0327;0.6953020996572901;0.0002941891500484693
rand_random_real_100_156422_2_0.85_17366062183005323_46;156422;312840;1;0.6320336463587727;0.02541429013746989;0.0246;0.7019492300592263;0.00032112338902574107
rand_random_real_100_156422_2_0.85_17366062236212635_47;156422;312840;1;0.6324949197112878;0.02293165498604503;0.0231;0.7005417176934199;0.0003363611980651602
rand_random_real_100_156422_2_0.85_17366062292465668_48;156422;312840;1;0.6301047439850455;0.03689148766732969;0.0347;0.69936040317745;0.000266307730680535
rand_random_real_100_156422_2_0.85_17366062335393941_49;156422;312840;1;0.6307132060616051;0.033664443428198965;0.0326;0.6805447913153733;0.00032001353765640964
rand_random_real_100_156422_2_0.85_1736606238052152_50;156422;312840;1;0.6322041573553411;0.028557387654153315;0.0284;0.7016438186826024;0.00031598035540445624
rand_random_real_100_156422_2_0.85_17366062489673946_51;156422;312840;1;0.6317362746916045;0.03719395573053564;0.0339;0.6964005811828502;0.00024349357996680536
rand_random_real_100_156422_2_0.85_1736606253242145_52;156422;312840;1;0.6305739483567407;0.021346170341657592;0.0211;0.7016710999602018;0.0003320915516218362
rand_random_real_100_156422_2_0.85_1736606259150049_53;156422;312840;1;0.6323976288780654;0.027193689015007128;0.0275;0.7000892417776996;0.0003183633558667433
rand_random_real_100_156422_2_0.85_17366062641888976_54;156422;312840;1;0.6306789795180752;0.03936381144178105;0.035;0.6913829438422375;0.0002742374043348469
rand_random_real_100_156422_2_0.85_17366062682937791_55;156422;312840;1;0.6312910950471287;0.024065312851959585;0.0243;0.7023909233319018;0.00033196107732212513
rand_random_real_100_156422_2_0.85_17366062737994537_56;156422;312840;1;0.6314497589049642;0.035246226804200344;0.0371;0.6995379828476499;0.0002708110777002154
